old_name	new_name	occurrences	first_seen	note
_cas	_scenarios	1	tests/components/clip/textes.test.ts:52	
_codage	_encoding	1	src/server/steps/ingest.ts:221	
_données	_data	1	src/lib/queries.ts:379	
_erreur	_error	4	src/lib/queries.ts:304	
_nom	_name	11	tests/core/ffmpeg-args.test.ts:392	
_plan	_shot	2	src/lib/queries.ts:500	
_requête	_request	4	src/app/api/clips/[id]/route.ts:71	
_resultat	_result	2	src/lib/queries.ts:427	
à	to	1	tests/core/framing.test.ts:210	
àAdopter	toAdopt	3	src/lib/enregistrement.ts:124	
abaisser	lower	1	src/components/sources/ligne-montage.tsx:176	
abandon	abandonment	1	tests/server/candidates.test.ts:393	
abandonner	abandon	1	src/server/steps/candidates.ts:1411	
abréger	shorten	1	src/core/erreurs.ts:25	
absent	missing	1	tests/server/secrets.test.ts:155	
accélération	acceleration	1	src/core/ffmpeg/args.ts:289	
accord	agreement	1	src/components/tri/modele.ts:185	
accrocherArrêt	hookShutdown	2	src/instrumentation.ts:35	
àCôté	toSide	1	tests/server/render.test.ts:410	
acquis	acquired	1	src/components/tri/avancement.tsx:336	
actif	active	3	src/components/tri/avancement.tsx:332	
actionPourTouche	actionForKey	1	src/components/tri/raccourcis.ts:106	
actionsMuettes	actionsMute	1	tests/components/tri/raccourcis.test.tsx:104	
ActionsRaccourcis	ActionsShortcuts	1	src/components/clip/raccourcis.tsx:87	
ActionsTri	ActionsReview	1	src/components/tri/raccourcis.ts:85	
ACTIVABLES	ACTIVATABLE	1	src/components/clip/raccourcis.tsx:29	
actuel	current	1	src/lib/enregistrement.ts:282	
admises	admitted	1	src/server/db.ts:755	
àDroite	toRight	1	tests/core/framing.test.ts:611	
àÉcrire	toWrite	1	src/components/clip/champs-textes.tsx:184	
àFocaliser	toFocus	1	src/components/clip/transcript-surface.tsx:215	
àGauche	toLeft	2	src/server/steps/candidates.ts:1722	
agir	actWrapped	1	tests/lib/enregistrement-auto.test.tsx:111	
aide	help	6	src/components/clip/ecran-clip.tsx:100	
AideClavier	HelpKeyboard	1	src/components/tri/fil.tsx:640	
àJour	toDay	9	src/app/api/clips/[id]/route.ts:261	
àJourOuInchangés	toDayOrUnchanged	1	src/server/db.ts:964	
ajouter	add	2	src/server/ffmpeg.ts:101	
àLenvers	toReversed	1	tests/core/framing.test.ts:550	
alerte	alert	2	tests/components/clip/panneau-export.test.tsx:286	
allerÀ	goTo	1	src/components/tri/ecran-projet.tsx:305	
allerÀLaVue	goToView	1	src/components/tri/ecran-projet.tsx:45	
allerAuMot	goWord	1	src/components/clip/transcript-surface.tsx:224	
allerAuRésultat	goResult	1	src/components/clip/transcript-surface.tsx:259	
analyse	analysis	19	scripts/mesure-premier-plan.ts:179	
Analyse	Analysis	2	src/core/parcours.ts:38	
analysé	analysis	1	src/server/steps/analysis.ts:230	
ANALYSE_VALIDE	ANALYSIS_VALID	1	tests/server/analysis.test.ts:28	
analyseProjet	analysisProject	1	src/core/parcours.ts:111	
analyser	analyze	2	src/server/steps/candidates.ts:528	
analyserMarqueTemps	analyzeMarkerTime	1	src/server/ffmpeg.ts:67	
analyserSegments	analyzeSegments	1	src/server/db.ts:762	
analyserSondage	analyzeProbe	1	src/server/ffprobe.ts:66	
ancienne	old	1	tests/server/db.test.ts:675	
ancienStage	oldStage	1	tests/server/ingest.test.ts:223	
ancre	anchor	1	src/store/editor.ts:44	
année	year	1	src/core/pipeline.ts:39	
AnnonceDÉtape	AnnouncementDStep	1	src/components/tri/avancement.tsx:194	
annoncer	announce	1	tests/components/sources/library.test.tsx:201	
annuler	cancel	4	src/components/clip/raccourcis.tsx:90	
anormale	abnormal	1	tests/server/candidates.test.ts:83	
aperçu	preview	1	src/server/vues.ts:170	
ApercuSortie	PreviewOutput	1	src/components/clip/apercu-sortie.tsx:75	
appartient	belongs	1	src/components/tri/modele.ts:61	
appel	call	29	src/server/steps/candidates.ts:523	
Appel	Call	1	tests/lib/enregistrement-auto.test.tsx:66	
appelerGemini	callGemini	1	src/server/steps/candidates.ts:522	
AppelGemini	CallGemini	1	src/server/steps/candidates.ts:318	
appels	calls	34	src/server/steps/candidates.ts:803	
appliqué	applied	1	src/app/api/clips/[id]/route.ts:151	
appliquerDérogations	applyExceptions	1	src/core/framing.ts:1226	
apres	after	3	tests/lib/editing.test.ts:117	
après	after	5	tests/components/sources/library.test.tsx:201	
apresDeux	afterTwo	1	tests/lib/editing.test.ts:206	
apresUn	afterA	1	tests/lib/editing.test.ts:205	
ardoise	slate	7	src/server/steps/candidates.ts:1171	
Ardoise	Slate	1	src/server/steps/candidates.ts:1109	
ArdoiseDétail	SlateDetail	1	src/server/steps/candidates.ts:1640	
aRefaire	aRedo	1	tests/store/editor.test.ts:271	
àRefaire	toRedo	1	src/core/graph.ts:100	
àReprendre	toResume	2	src/components/tri/avancement.tsx:73	
arobase	atSign	1	src/server/steps/transcript.ts:214	
arret	shutdown	2	src/components/tri/avancement.tsx:39	
arrêté	stopped	1	tests/components/clip/transcript-surface.test.tsx:250	
arrêts	stops	2	tests/components/clip/transcript-surface.test.tsx:83	
arrondi	rounded	3	src/components/sources/textes.ts:46	
artefact	artifact	3	tests/server/analysis.test.ts:457	
Artefact	Artifact	1	src/server/ffmpeg.ts:471	
assProvisoire	assProvisional	1	src/server/steps/render.ts:1446	
aTrier	aSort	3	src/components/tri/relance.tsx:179	
attendre	wait	2	src/server/run.ts:175	
attendreEtape	waitStep	1	tests/server/run.test.ts:917	
attendreLaFin	waitFin	1	tests/server/run.test.ts:903	
